species,x,y,z
Basil,300.0,400.2,0.0
Basil,300.0,679.8,0.0
Basil,300.0,1029.8,0.0
Basil,300.0,1360.0,0.0
Spearmint,600.0,420.2,0.0
Scallion,600.0,730.0,0.0
Tomato,600.0,1050.0,0.0
Tomato,600.0,1429.8,0.0
Tomato,600.0,1870.0,0.0
Tomato,419.8,2390.0,0.0
Scallion,709.8,2350.0,0.0
Marigold,1140.0,2350.0,0.0
Marigold,1160.2,2100.0,0.0
Marigold,1160.0,1870.0,0.0
Marigold,1120.0,1470.0,0.0
Marigold,1120.0,1119.8,0.0
Marigold,1120.0,790.2,0.0
Lettuce_little_gem,1120.0,440.2,0.0
Lettuce_little_gem,1820.2,440.0,0.0
Lettuce_little_gem,1820.0,860.2,0.0
Lettuce_little_gem,1820.0,1129.8,0.0
Lettuce_little_gem,1820.0,1350.0,0.0
Lettuce_little_gem,1820.0,1750.0,0.0
Lettuce_little_gem,1820.0,2000.0,0.0
Lettuce_little_gem,1820.0,2350.2,0.0
Scallion,2270.2,2600.0,0.0
Scallion,2270.0,2130.0,0.0
Scallion,2270.0,1429.8,0.0
Scallion,2440.0,759.8,0.0
Mixed Pepper,2740.0,509.8,0.0
Mixed Pepper,2709.8,1180.0,0.0
Mixed Pepper,2710.0,1760.0,0.0
Mixed Pepper,2710.0,2339.8,0.0
Scallion,3109.8,2640.0,0.0
Scallion,3150.0,2040.0,0.0
Scallion,3150.0,1339.8,0.0
Scallion,3100.0,820.0,0.0
Mixed Pepper,3500.0,470.0,0.0
Mixed Pepper,3500.0,1140.0,0.0
Mixed Pepper,3500.0,1770.0,0.0
Mixed Pepper,3500.0,2330.2,0.0
Scallion,3800.0,2630.0,0.0
Scallion,3940.0,2080.0,0.0
Scallion,3940.0,1479.8,0.0
Scallion,3900.0,950.0,0.0
Tomato,4290.0,550.0,0.0
Tomato,4300.0,1179.8,0.0
Tomato,4300.0,1830.0,0.0
Tomato,4400.0,2430.0,0.0
Tomato,4750.0,2080.0,0.0
Tomato,4649.8,1480.0,0.0
Tomato,4860.2,880.0,0.0
Tomato,5110.0,520.2,0.0
Tomato,5210.0,1170.0,0.0
Tomato,5160.0,1820.0,0.0
Tomato,5160.0,2320.2,0.0
