species,x,y,z
Spearmint,650,470,0
Scallion,650,750,0
Spearmint,650,1050,0
Scallion,650,1450,0
Spearmint,650,1850,0
Scallion,650,2350,0
Marigold,1150,2340,0
Marigold,1150,2120,0
Marigold,1150,1870,0
Marigold,1150,1470,0
Marigold,1150,1140,0
Marigold,1150,790,0
Lettuce_little_gem,1150,420,0
Lettuce_little_gem,1800,520,0
Lettuce_little_gem,1800,820,0
Lettuce_little_gem,1800,1120,0
Lettuce_little_gem,1800,1420,0
Lettuce_little_gem,1800,1770,0
Lettuce_little_gem,1800,2020,0
Lettuce_little_gem,1800,2370,0
Scallion,2300,2550,0
Scallion,2300,2140,0
Scallion,2300,1440,0
Scallion,2450,740,0
Scallion,2420,300,0
Mixed Pepper,2720,500,0
Mixed Pepper,2720,1200,0
Mixed Pepper,2720,1750,0
Mixed Pepper,2720,2350,0
Scallion,3120,2650,0
Scallion,3120,2050,0
Scallion,3120,1350,0
Scallion,3120,800,0
Scallion,3100,270,0
Mixed Pepper,3550,500,0
Mixed Pepper,3500,1120,0
Mixed Pepper,3500,1770,0
Mixed Pepper,3500,2330,0
Scallion,3800,2620,0
Scallion,3800,2120,0
Scallion,3890,1470,0
Scallion,3890,730,0
Scallion,3890,340,0
Tomato,4340,540,0
Tomato,4340,1170,0
Tomato,4240,1810,0
Tomato,4240,2360,0
Tomato,4690,2130,0
Tomato,4690,1530,0
Tomato,4690,900,0
Tomato,5090,520,0
Tomato,5090,1150,0
Tomato,5090,1750,0
Tomato,5090,2310,0
