species,x,y,z
Basil,500,350,0
Basil,500,1000,0
Basil,500,1520,0
Basil,500,2020,0
Basil,500,2540,0
Begonia,1060,2540,0
Begonia,1110,2050,0
Begonia,1110,1490,0
Begonia,1110,990,0
Begonia,1110,340,0
Dianthus,1710,240,0
Dianthus,1710,940,0
Dianthus,1710,1490,0
Dianthus,1710,2040,0
Dianthus,1710,2540,0
Cardinal Flower,2540,2540,0
Cardinal Flower,2540,2040,0
Cardinal Flower,2540,1430,0
Cardinal Flower,2490,840,0
Cardinal Flower,2390,240,0
Geranium,3240,320,0
Geranium,3240,820,0
Geranium,3240,1440,0
Geranium,3240,2040,0
Geranium,3240,2580,0
Lily,3940,2480,0
Lily,3940,1930,0
Lily,3940,1480,0
Lily,3940,880,0
Lily,3940,310,0
Geranium,4940,410,0
Geranium,4940,960,0
Geranium,4940,1430,0
Geranium,4640,1980,0
Geranium,4640,2480,0
